d01,0:00,0:30,1:00,1:30,2:00,2:30,3:00,3:30,4:00,4:30,5:00,5:30,6:00,6:30,7:00,7:30,8:00,8:30,9:00,9:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30
2/13/2021,6.3655,6.6055,6.4905,6.431,8.867,8.8125,7.1725,6.5025,6.2205,6.736,8.079,12.922,10.6065,7.9185,19.231,15.753,11.555,20.167,19.004,17.3915,21.298,10.9225,22.248,19.8465,19.0425,16.6545,19.33,20.6785,11.668,9.986,10.1495,12.469,12.139,10.768,11.1515,9.611,10.7775,9.7265,9.9145,9.548,8.9295,8.148,8.263,13.7015,8.138,6.813,6.778,6.9055
2/14/2021,6.6865,6.4575,6.8385,6.528,6.666,6.6035,6.702,6.7785,6.789,6.6935,6.6845,7.657,17.5395,13.5995,16.037,13.091,17.1235,20.383,19.0675,17.1315,22.5485,19.963,18.281,18.2965,19.3555,17.66,17.1945,20.792,11.1425,9.598,10.255,9.7535,10.0695,10.0995,10.3955,9.98,9.82,8.323,8.2045,8.3565,9.8555,8.5905,7.7485,8.014,7.832,7.499,7.616,6.948
2/15/2021,6.829,6.217,6.257,6.298,6.421,9.986,8.4545,7.8,6.709,8.8585,6.797,13.114,15.481,17.3915,19.073,20.75,22.332,27.189,19.2755,17.082,20.5995,15.582,16.9625,16.0915,11.947,13.8315,15.502,11.5835,12.45,11.436,10.312,10.9035,10.461,9.758,10.968,9.878,10.3035,9.582,8.5865,8.4285,8.7835,8.3125,8.7395,8.198,8.076,7.447,7.661,7.6315
2/16/2021,7.831,7.5245,7.187,7.4985,7.0385,6.5115,6.3675,6.6285,6.6635,6.521,6.589,11.952,17.5515,15.39,16.7655,15.454,21.115,20.523,18.978,20.418,20.189,16.7385,15.283,17.945,14.436,14.482,17.256,17.5155,13.889,11.8375,12.8675,12.8125,12.371,10.9515,9.6045,11.36,11.1125,10.8835,9.0615,8.324,9.1335,8.118,8.1095,8.0025,8.005,7.8635,7.5735,7.278
2/17/2021,6.7845,6.9535,6.7495,6.754,6.527,8.25,8.27,8.2555,7.0005,6.661,6.6595,13.4345,14.0915,13.558,11.896,15.046,16.741,19.1145,19.5085,17.322,10.8245,13.192,19.202,14.8045,13.5345,13.6765,12.2595,15.963,22.694,16.9485,11.1255,12.477,12.8405,10.6695,12.9635,11.601,12.024,11.4495,9.3725,9.5225,9.367,8.406,8.4465,7.646,7.2995,6.8235,6.64,6.2785
2/18/2021,6.2885,6.2175,6.2645,5.998,6.15,7.6455,7.7355,6.169,6.046,5.9485,6.137,14.8315,15.7715,14.4185,18.397,17.144,20.0225,19.9005,11.4025,19.301,18.3025,18.2295,18.6825,14.4425,12.478,19.9585,15.235,10.738,12.0655,15.259,14.06,11.428,11.712,10.095,9.713,10.165,10.448,9.0065,8.486,8.171,8.305,8.504,7.67,7.736,7.307,6.6055,6.668,6.3185
2/19/2021,6.809,6.328,6.17,6.2245,6.5855,9.342,9.574,6.738,5.968,6.1605,6.3965,7.683,7.5665,7.477,9.3495,10.976,15.4465,13.712,14.422,18.4915,21.214,13.723,20.487,20.581,20.289,18.171,20.4755,19.8985,12.8065,18.3045,14.2035,11.2635,12.3935,11.019,11.0425,11.334,9.183,9.223,9.2255,9.3085,9.3185,8.8305,9.053,8.006,7.6545,10.4665,9.189,7.0735
2/20/2021,6.9025,6.441,6.6785,6.9465,6.644,6.615,12.2325,6.9995,6.5295,6.5625,6.789,7.1305,7.4645,10.8325,12.484,11.5545,11.2245,12.475,11.159,11.9845,13.18,18.4295,19.162,14.901,18.335,19.017,18.8305,20.838,18.1005,15.8495,15.575,13.217,12.8865,11.464,10.5035,10.9545,10.6585,9.557,8.462,8.5475,8.921,8.413,7.997,7.9175,7.931,7.392,7.092,6.627
2/21/2021,6.556,6.635,6.6355,6.6635,6.679,7.3225,7.094,11.1005,7.1475,6.749,10.9035,7.542,8.13,11.7875,12.536,14.053,24.39,18.835,22.8585,19.951,17.87,16.3785,16.5585,20.315,14.6635,17.9505,17.836,16.1965,11.5325,10.414,10.4345,10.736,9.1115,10.335,10.5205,10.5505,11.0465,10.3705,8.8405,8.654,8.9485,8.5025,8.0915,7.7265,7.3015,7.426,6.815,6.8995
2/22/2021,6.403,6.144,6.176,6.302,6.193,6.488,6.1715,6.1875,6.338,6.332,6.749,10.6015,10.0535,8.4305,11.833,11.8015,17.5825,20.7305,20.6585,22.781,16.9005,13.636,20.1715,22.5165,21.7265,18.3395,14.264,18.2085,14.0465,11.9925,13.1,13.3685,11.953,12.2655,11.79,11.8725,11.089,11.469,9.2055,8.993,9.3265,8.7505,8.2775,8.3145,7.9835,7.586,7.097,6.691
2/23/2021,6.8075,6.652,6.4645,6.4165,6.4235,6.592,6.476,6.563,6.416,6.2445,6.669,13.079,9.1845,11.074,10.944,9.94,20.2665,14.385,19.4315,15.8035,23.292,14.398,21.759,12.965,23.631,16.82,20.5455,17.4855,15.453,16.7395,12.1375,12.2835,11.279,10.5835,11.0645,11.079,10.1905,8.858,8.4625,8.9115,8.642,9.4645,8.5705,8.65,7.603,7.282,7.4825,6.7765
2/24/2021,6.7685,6.517,6.496,6.8735,6.3225,6.602,8.602,6.4625,6.907,6.6495,6.5865,17.1725,14.5095,16.1045,9.4825,10.082,19.9775,18.035,17.9815,18.929,19.65,11.959,20.6125,21.5415,21.0135,19.472,15.8865,18.22,16.3215,15.349,12.4445,13.057,11.397,11.157,10.9225,10.992,11.199,10.8645,9.0125,8.7325,8.4825,8.3575,8.2005,7.687,7.521,7.555,7.2655,7.07
