Demand,00:00,00:30,01:00,01:30,02:00,02:30,03:00,03:30,04:00,04:30,05:00,05:30,06:00,06:30,07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30
03/02/2021,20.8975,20.0465,20.5325,20.3475,20.742,20.181,20.4975,20.2945,14.008,1.2898,0.9968,6.027,1.0722,8.608,21.5215,21.6285,9.4785,7.472,8.1155,6.728,3.4736,1.2288,0.36,0.6784,0.2368,0.5952,0.1728,0,0.0032,0.544,2.6224,1.8544,3.4096,2.1456,3.0096,2.4848,3.4288,1.9056,2.3312,1.7776,2.4704,1.4176,1.8144,1.744,1.312,1.3408,18.256,21.214
04/02/2021,20.248,20.5235,20.275,21.4655,19.8435,20.4815,20.459,20.512,19.901,20.851,20.904,4.2724,1.8208,6.9485,4.0531,5.712,2.04,6.595,5.619,2.2548,1.008,1.0928,0.0288,0,0,0,0.1168,0.0384,2.0464,0.7328,3.976,2.288,3.4464,4.04,2.2864,2.856,2.664,1.8256,2.6816,1.1232,1.608,1.952,0.9936,1.536,1.4992,1.2432,17.9165,20.2065
05/02/2021,20.352,20.96,20.237,20.934,20.208,20.618,20.19,20.4995,4.3201,2.6384,3.3312,2.6304,1.7616,1.4016,2.0928,1.28,1.2048,2.2768,1.2288,1.0384,0.0128,0.0064,0.072,0,0.0272,0,0.1568,1.3888,1.7728,2.2992,2.7984,3.3792,3.7504,4.0656,3.2816,3.4112,3.4096,2.6224,2.144,2.6608,1.8256,1.7168,2.2992,2.1808,1.5632,2.7248,18.2765,20.8225
06/02/2021,17.328,0.8386,3.0992,3.6912,2.4352,2.4128,2.84,2.8624,2.2336,1.656,3.76,2.256,1.8832,1.1376,0.9648,1.9888,0.5776,1.528,0.0384,0.44,0,0.0448,0,0,0,0,0.232,0.184,1.248,0.024,0.9824,1.0816,0.304,1.9616,1.2704,0.9232,2.3072,0.8144,0.9216,1.656,1.6304,0.808,0.9456,1.7472,1.8208,0.904,18.766,18.52
07/02/2021,1.6804,2.2512,3.9792,2.6848,0.848,2.8032,2.1968,2.3296,1.5072,2.2688,3.48,2.4512,1.4688,0.7648,0.7664,1.6016,0.8032,0.3728,0.7424,0,0.0688,0.5328,0,0.1888,0.1184,0,0.096,0.032,1.296,1.0752,1.3248,2.144,1.7776,1.7984,1.7424,1.7136,1.6704,1.832,1.9008,1.6864,1.952,1.5456,1.3328,1.7808,1.752,1.5968,18.1725,20.7905
08/02/2021,20.539,1.5476,1.5472,7.328,0.968,1.6384,1.6208,5.4525,1.5459,0.9696,4.2704,3.2,0.9616,21.424,21.0175,17.4765,1.7012,6.3325,5.5265,1.877,0.2496,0,0.448,0.5904,0,1.7776,0.4832,0.512,1.2656,0.944,2.3456,1.8352,2.3024,2.2128,3.1088,2.0064,2.424,1.912,1.776,2.1136,1.3984,2.0432,1.1264,1.4784,1.2288,0.9888,18.56,20.224
09/02/2021,20.11,20.3795,20.0705,20.502,20.0945,20.6225,20.2495,20.7555,20.2175,20.0845,12.077,1.0754,1.6576,19.232,21.1375,18.3405,1.2996,6.7245,4.6243,0.416,0,0,0,0.0864,0.2768,0.2496,0,0.3008,0.0464,0.1104,0.9776,2.9808,3.0544,2.576,1.7072,2.0336,1.3072,1.8512,1.9936,0.8976,0.7392,2.112,0.9744,1.0576,1.9632,0.904,17.7885,21.232
10/02/2021,20.2115,19.91,21.0145,19.7775,19.952,21.1185,20.037,20.059,21.208,12.957,3.3537,3.9632,1.6912,1.288,1.2512,1.9216,1.776,2.512,21.339,22.637,3.3264,2.4064,1.7872,0,0.8528,0.016,0.28,1.0288,0.28,7.2365,20.256,20.117,21.931,9.8415,3.8212,3.3392,3.5952,2.216,1.768,2.3136,1.24,0.872,1.4272,1.856,0.8464,1.3824,18.48,19.7535
11/02/2021,19.8145,21.176,20.368,20.2015,20.8975,20.9855,20.2755,20.1695,20.8545,20.5245,2.1075,6.176,2.0976,6.499,20.7825,21.4605,11.1475,5.2465,1.7024,0,0,0.0048,0,0,0,1.0528,2.8752,2.2432,0.4704,0.4304,0,1.2128,1.3776,2.144,3.0336,2.2208,2.3424,1.7504,1.5664,2.0464,1.2976,1.24,1.7072,1.1184,1.5616,0.8816,17.9885,20.701
12/02/2021,20.2685,19.962,20.5135,19.992,19.9725,20.626,20.1455,20.104,5.2365,2.0868,1.896,2.9648,2.4336,1.272,1.8688,1.1424,0.648,1.4512,0.4912,0.008,0.248,0,0.0128,0.0272,0,0,0.0096,0.0176,0.0304,0.2128,0.0016,0.6736,3.04,2.3008,2.4288,3.0768,2.272,1.7296,2.3568,1.408,1.24,1.9616,1.4432,1.0352,2.0832,1.0944,18.39,20.226
13/02/2021,21.19,19.8275,16.0095,1.2434,1.6768,7.4815,1.2481,1.5728,0.9952,1.7024,5.4685,1.3875,1.4448,0.9408,1.1696,1.0016,0.0208,0.0832,0.0112,0,0,0,0,0,0.2816,0.1488,0.7376,0.7344,0.8784,1.0368,0.4944,1.1376,1.0544,1.608,1.352,1.7184,1.8176,1.8528,1.3264,1.2576,1.752,1.6208,1.0864,0.8032,0.9584,0.9568,17.584,20.7405
14/02/2021,18.392,0.8947,0.7456,2.8416,5.88,0.9504,0.9056,6.5325,1.5891,0.84,0.9776,5.5005,0.8803,1.5344,0.8048,1.0128,0.7072,1.3216,0.5392,0.5168,0.4256,0.9056,0.192,0.2352,0.408,0.7056,0.1648,0.0816,0.3632,0.7472,1.1328,0.5552,0.488,1.0432,1.3984,0.9936,0.928,1.5104,1.0128,0.7936,0.9344,1.5104,0.9296,0.8784,1.6656,1.032,17.7005,20.821
15/02/2021,14.7295,0.8882,1.2128,2.9344,5.92,1.128,1.3296,0.7648,6.072,1.4656,1.0416,5.475,2.557,17.422,21.304,20.49,2.9152,6.438,5.2,3.1092,1.5664,0.1216,0,0,0.744,0.1632,4.0992,3.608,3.1856,2.0704,2.1616,6.475,6.76,6.2015,3.3363,2.7344,2.2752,2.1856,1.7632,1.9216,1.4768,1.1904,1.0608,1.4704,0.9616,1.6176,17.8445,20.6355
16/02/2021,19.99,20.4355,20.1775,20.768,19.915,20.504,19.765,20.867,19.784,20.6705,19.784,20.8065,3.7842,4.8656,20.64,21.771,11.168,7.155,4.7124,1.5072,0.4864,1.0176,0.8096,0.7904,0.8352,1.2064,1.2544,0.0752,0.2176,1.0064,1.968,2.7824,3.096,2.4288,2.6144,2.9616,2.0688,3.0368,1.9872,2.3728,1.848,1.992,1.9072,1.8256,2.024,1.5664,2.1552,0.9776
17/02/2021,18.6205,19.845,20.8415,20.317,21.1455,20.568,20.912,20.4125,20.845,20.307,20.909,19.643,2.6404,1.688,1.6528,1.672,0.6016,0.9648,10.891,14.755,5.8275,4.0673,4.176,2.344,0.4176,0,0.0384,0.0704,0.2512,0.352,0.5104,0.992,4.0912,5.83,4.7764,4.312,3.9536,4.0576,3.9712,3.088,2.9664,2.7072,2.9792,2.7984,2.2592,2.12,3.0272,2.24
18/02/2021,18.835,21.152,21.1265,21.6125,20.6625,21.1185,21.9295,20.613,20.731,22.0275,20.638,20.5025,22.5295,22.304,22.304,21.96,22.0785,20.5555,20.763,19.336,9.069,1.7584,0.0112,0,0.2096,0.096,0.936,1.3648,0.6352,0.8368,2.0816,2.3072,2.7968,2.9168,2.3184,1.9056,2.3664,1.608,1.7696,1.592,1.2336,1.6384,0.8064,1.5728,1.224,1.5088,1.8528,0.9936
19/02/2021,18.158,20.0435,20.563,21.005,20.2445,20.5075,20.7805,20.0545,20.6895,20.293,20.784,4.1938,3.5216,1.1744,1.9568,1.1696,1.6368,3.0032,1.9152,2.4672,1.6704,0.6,2.896,3.536,2.264,2.08,2.4864,2.6576,1.5296,2.8128,2.2576,2.7392,2.7552,3.0432,2.5312,1.992,2.672,2.3056,2.4272,0.8128,1.8352,2.176,2.2016,1.2736,1.784,1.8704,0.7664,2.2448
20/02/2021,17.678,20.81,20.9085,7.533,3.2545,0.7728,3.2368,3.1472,1.3552,3.3696,2.6864,1.616,2.4688,1.8256,1.2464,1.5856,1.3584,0.4352,1.0592,0.2432,0.7744,0,0.4032,0,0,0.088,0.048,0.0432,0,0.56,0.064,0.8096,0.8448,2.7136,3.0304,1.9712,2.8528,2.7136,2.3968,2.2512,1.9024,2.416,2.1328,2.1264,1.6176,1.9936,2.096,1.5184
21/02/2021,18.014,21.074,15.019,1.0754,2.1232,6.488,1.7584,1.0912,1.8608,5.819,1.789,1.0704,4.6944,0.9968,1.8144,0.3232,0.8464,0.2832,0.5008,0.024,0,0,0,0,0.0176,0.0064,0,0,0.0048,0,0.088,0.2064,1.1904,1.3712,1.0848,1.8208,1.0784,1.9056,1.0256,1.9536,1.392,1.9008,1.2832,1.6416,1.2864,1.6896,1.5344,1.3536
22/02/2021,17.7485,20.2755,15.4415,1.0033,1.64,6.059,1.605,1.152,5.579,2.1202,1.696,1.0448,6.8735,2.8545,19.798,21.5875,12.9325,6.384,4.3012,2.8528,2.424,0.2672,0.504,0,0,0,0,0.192,0.0096,1.0256,0.9504,4.1728,5.744,7.046,2.3572,3.296,2.7504,1.7664,2.36,2.2288,1.4224,1.7792,1.9168,1.128,1.976,1.216,1.8016,1.7024
23/02/2021,17.792,20.862,20.648,20.2755,20.6525,20.744,20.1585,21.136,20.296,20.8655,20.25,14.584,2.3328,2.68,6.0845,21.152,21.7855,12.4435,4.9777,1.3344,0.432,0.3536,1.3568,0.952,2.3888,3.9536,3.6512,3.9568,3.2192,3.3712,4.1776,3.3632,5.0735,5.059,3.1395,3.1664,3.784,3.7968,3.2384,2.7728,2.4624,2.3872,2.68,1.704,1.9024,2.2768,1.344,1.4656
24/02/2021,19.203,20.061,20.851,20.6705,21.6865,20.395,21.357,21.342,12.384,3.2372,1.7776,2.7856,4.5744,1.2832,3.0112,1.0592,1.736,3.9472,2.0544,3.4544,1.3344,2.3936,2.5168,2.3632,3.2208,2.7872,2.632,4,3.1888,4.1184,5.851,4.6018,5.3005,5.541,5.9085,4.3988,4.3552,3.9472,3.7968,3.5584,3.5088,3.4496,3.1376,2.792,2.6512,2.3168,3.1888,2.6112
25/02/2021,18.979,20.885,3.84,3.6624,2.4048,3.7248,3.064,2.6384,2.0912,2.776,3.1424,0.7552,3.1552,1.248,2,0.7776,0.8688,0,0,0,0.096,0,0,0.0976,0.2128,0.016,0.304,10.083,15.192,14.1505,17.432,18.451,2.7987,8.646,8.413,8.669,6.4415,7.648,7.5505,4.824,3.6,5.87,8.992,2.6148,4.9328,5.2335,3.2145,0.8704
